20 147
0 1 4
0 3 3
0 5 6
0 7 7
0 8 1
0 10 10
0 11 8
0 12 6
0 14 7
0 16 1
0 17 1
0 18 5
0 19 5
1 4 2
1 5 9
1 6 9
1 8 3
1 9 1
1 10 2
1 11 4
1 13 6
1 14 9
1 15 5
1 16 6
1 18 4
1 19 3
2 3 10
2 4 7
2 5 4
2 6 9
2 8 4
2 9 7
2 10 2
2 11 3
2 12 7
2 13 3
2 14 1
2 15 6
2 16 5
2 17 3
2 19 1
3 4 3
3 5 2
3 6 3
3 7 7
3 8 9
3 9 4
3 10 7
3 11 6
3 12 10
3 13 5
3 14 3
3 17 7
3 18 1
4 5 8
4 6 7
4 7 7
4 8 5
4 10 1
4 11 10
4 12 6
4 14 10
4 15 1
4 16 7
4 17 6
4 18 8
4 19 8
5 6 1
5 7 3
5 8 6
5 9 7
5 10 8
5 11 1
5 12 2
5 13 3
5 14 6
5 15 3
5 16 6
5 17 8
5 18 7
6 7 7
6 8 10
6 9 9
6 10 4
6 11 10
6 12 1
6 14 6
6 15 8
6 16 3
6 18 1
7 8 2
7 10 10
7 11 5
7 12 6
7 13 3
7 14 5
7 15 10
7 16 5
7 17 2
7 18 10
8 9 9
8 10 9
8 11 8
8 12 9
8 13 2
8 15 8
8 16 7
8 17 3
8 18 6
8 19 8
9 11 2
9 12 10
9 14 8
9 15 1
9 17 5
10 12 4
10 13 5
10 14 2
10 15 7
10 16 5
10 17 8
10 18 9
10 19 7
11 12 5
11 13 7
11 15 5
11 16 8
11 17 9
11 18 4
11 19 7
12 15 8
12 17 10
12 18 1
12 19 7
13 17 2
13 18 1
13 19 7
14 16 9
14 18 4
14 19 5
15 16 4
15 18 7
15 19 5
16 17 8
16 18 9
17 18 7
18 19 1
0 1 1 0 0 1 2 2 2 0 1 2 1 1 2 0 2 2 1 1 
1 0 0 1 1 0 2 2 1 1 2 0 2 2 2 2 1 0 1 1 
1 0 0 2 0 2 0 1 0 0 0 2 2 0 2 1 0 1 1 1 
0 1 2 0 2 2 2 1 1 1 2 2 1 2 2 2 0 0 0 1 
0 1 0 2 0 0 0 1 2 0 1 1 2 2 2 0 2 1 1 1 
1 0 2 2 0 0 1 2 0 0 2 2 2 0 1 2 0 2 0 2 
2 2 0 2 0 1 0 0 0 0 0 2 0 2 1 2 0 2 1 2 
2 2 1 1 1 2 0 0 0 2 1 2 0 2 2 2 0 2 2 1 
2 1 0 1 2 0 0 0 0 2 1 1 1 2 0 1 2 1 1 0 
0 1 0 1 0 0 0 2 2 0 1 2 1 0 1 1 2 1 2 2 
1 2 0 2 1 2 0 1 1 1 0 2 2 0 0 2 2 0 2 2 
2 0 2 2 1 2 2 2 1 2 2 0 1 1 2 2 0 1 0 2 
1 2 2 1 2 2 0 0 1 1 2 1 0 1 0 0 2 1 2 1 
1 2 0 2 2 0 2 2 2 0 0 1 1 0 0 1 1 2 2 1 
2 2 2 2 2 1 1 2 0 1 0 2 0 0 0 0 0 1 1 1 
0 2 1 2 0 2 2 2 1 1 2 2 0 1 0 0 2 2 1 2 
2 1 0 0 2 0 0 0 2 2 2 0 2 1 0 2 0 0 0 1 
2 0 1 0 1 2 2 2 1 1 0 1 1 2 1 2 0 0 1 0 
1 1 1 0 1 0 1 2 1 2 2 0 2 2 1 1 0 1 0 1 
1 1 1 1 1 2 2 1 0 2 2 2 1 1 1 2 1 0 1 0 
