40 629
0 2 7
0 3 9
0 4 5
0 6 4
0 7 5
0 8 2
0 9 5
0 11 10
0 13 2
0 15 8
0 16 6
0 17 10
0 18 4
0 20 9
0 21 9
0 23 7
0 24 1
0 25 6
0 26 6
0 27 2
0 28 10
0 29 3
0 31 2
0 35 5
0 36 2
0 37 9
0 38 10
0 39 5
1 2 10
1 3 6
1 4 5
1 5 3
1 6 5
1 7 2
1 8 3
1 14 7
1 16 9
1 20 7
1 21 8
1 22 6
1 23 10
1 24 10
1 25 4
1 26 5
1 27 4
1 28 3
1 29 1
1 30 3
1 32 10
1 33 9
1 34 2
1 35 4
1 36 10
1 37 2
1 38 2
1 39 1
2 3 3
2 4 8
2 5 1
2 7 7
2 8 5
2 9 2
2 10 6
2 11 1
2 12 1
2 13 7
2 14 6
2 16 10
2 17 4
2 19 3
2 21 5
2 22 8
2 23 1
2 24 7
2 28 7
2 30 9
2 31 8
2 32 6
2 33 9
2 34 4
2 35 8
2 36 5
2 37 10
2 39 10
3 4 5
3 5 7
3 7 10
3 8 6
3 9 4
3 10 7
3 11 10
3 13 10
3 14 1
3 15 2
3 16 3
3 17 8
3 19 1
3 21 5
3 23 7
3 24 2
3 26 1
3 27 7
3 28 4
3 29 1
3 31 10
3 32 2
3 33 4
3 35 3
3 36 7
3 37 1
3 38 8
3 39 2
4 6 9
4 8 2
4 10 1
4 11 4
4 12 9
4 13 6
4 16 10
4 17 8
4 18 6
4 20 7
4 21 1
4 22 5
4 23 6
4 24 6
4 25 1
4 26 3
4 27 10
4 28 7
4 30 2
4 31 4
4 33 9
4 34 5
4 35 6
4 36 2
4 37 8
4 38 6
4 39 2
5 6 7
5 7 6
5 8 3
5 10 7
5 13 2
5 14 4
5 15 1
5 16 9
5 17 8
5 19 4
5 20 6
5 21 5
5 22 3
5 23 6
5 24 1
5 26 4
5 27 7
5 28 1
5 30 10
5 31 4
5 32 6
5 33 3
5 34 10
5 36 7
5 37 7
5 39 6
6 9 4
6 10 4
6 11 6
6 13 3
6 15 3
6 17 8
6 18 2
6 19 1
6 20 3
6 21 1
6 22 8
6 23 3
6 26 6
6 27 9
6 28 10
6 29 9
6 30 2
6 31 4
6 32 10
6 33 8
6 36 4
6 38 1
6 39 5
7 8 5
7 9 8
7 12 7
7 13 7
7 14 3
7 15 6
7 16 1
7 17 3
7 18 10
7 19 3
7 21 1
7 22 7
7 23 2
7 24 3
7 25 10
7 26 6
7 27 9
7 28 4
7 29 8
7 30 1
7 31 8
7 32 6
7 33 10
7 34 3
7 36 5
7 39 2
8 9 4
8 10 7
8 11 4
8 12 2
8 15 5
8 18 10
8 20 9
8 21 7
8 22 2
8 23 10
8 24 2
8 26 2
8 27 3
8 28 1
8 29 7
8 30 1
8 31 6
8 32 2
8 33 2
8 34 1
8 35 3
8 36 4
8 38 3
8 39 4
9 10 2
9 11 5
9 12 1
9 14 3
9 15 2
9 16 5
9 17 4
9 18 8
9 20 9
9 21 3
9 22 2
9 23 10
9 24 7
9 28 4
9 29 3
9 30 7
9 31 3
9 32 7
9 33 2
9 34 5
9 35 3
9 36 5
9 37 2
9 38 6
9 39 9
10 11 7
10 12 6
10 13 6
10 14 8
10 15 3
10 16 5
10 17 10
10 18 8
10 20 7
10 21 4
10 23 9
10 24 8
10 25 2
10 26 4
10 27 8
10 28 1
10 29 2
10 30 5
10 31 3
10 32 8
10 33 8
10 34 4
10 35 7
10 36 1
10 37 1
10 38 7
10 39 10
11 12 8
11 13 5
11 14 4
11 15 1
11 16 5
11 17 6
11 18 4
11 20 2
11 21 5
11 22 3
11 23 4
11 24 7
11 26 5
11 27 6
11 28 3
11 29 2
11 30 10
11 31 9
11 32 6
11 33 7
11 34 8
11 35 6
11 36 1
11 37 3
11 38 1
12 13 6
12 14 1
12 17 2
12 18 7
12 19 1
12 20 1
12 23 4
12 24 10
12 25 2
12 26 6
12 27 6
12 28 7
12 29 3
12 30 3
12 31 3
12 32 7
12 33 8
12 34 4
12 35 8
12 37 1
12 39 2
13 15 3
13 16 5
13 17 9
13 18 6
13 19 1
13 20 9
13 21 9
13 24 8
13 25 8
13 26 5
13 27 1
13 28 1
13 29 1
13 30 7
13 31 10
13 32 4
13 33 6
13 34 10
13 36 6
13 37 6
13 38 9
13 39 6
14 15 9
14 16 4
14 17 5
14 18 7
14 19 6
14 21 5
14 23 8
14 24 8
14 25 7
14 27 2
14 28 4
14 29 3
14 30 4
14 31 2
14 33 7
14 34 3
14 35 4
14 36 5
14 38 7
14 39 5
15 16 4
15 17 8
15 18 8
15 19 5
15 20 1
15 21 2
15 22 7
15 23 5
15 26 9
15 27 1
15 28 5
15 29 10
15 30 9
15 31 4
15 32 4
15 33 5
15 34 4
15 35 8
15 36 3
15 37 1
15 38 6
15 39 1
16 19 3
16 20 2
16 21 4
16 22 8
16 23 4
16 24 3
16 26 6
16 27 3
16 28 2
16 29 1
16 30 6
16 31 5
16 32 4
16 33 3
16 34 8
16 36 9
16 37 2
16 38 10
16 39 4
17 19 7
17 21 6
17 22 4
17 23 8
17 24 4
17 25 3
17 26 6
17 27 1
17 28 3
17 29 8
17 30 1
17 31 1
17 32 6
17 33 1
17 34 7
17 35 4
17 36 3
17 37 3
17 38 7
17 39 7
18 20 8
18 21 10
18 23 7
18 24 9
18 25 9
18 27 2
18 28 3
18 29 1
18 32 9
18 33 2
18 34 10
18 35 8
18 36 10
18 37 5
18 38 7
18 39 1
19 20 6
19 21 3
19 22 9
19 23 7
19 24 8
19 26 9
19 28 1
19 29 10
19 30 1
19 31 2
19 32 8
19 33 5
19 34 1
19 35 10
19 36 5
19 38 9
19 39 7
20 23 10
20 27 9
20 28 6
20 29 3
20 30 1
20 31 1
20 32 6
20 33 5
20 34 7
20 35 3
20 36 3
20 37 8
20 38 1
21 22 5
21 23 4
21 24 7
21 25 3
21 26 2
21 27 3
21 28 9
21 29 9
21 30 7
21 31 5
21 32 5
21 34 9
21 35 6
21 36 7
21 37 1
21 38 3
21 39 10
22 23 8
22 25 7
22 26 4
22 28 3
22 29 6
22 30 8
22 31 4
22 32 4
22 33 7
22 34 8
22 35 8
22 39 4
23 24 2
23 26 5
23 27 6
23 28 2
23 29 8
23 30 5
23 31 7
23 32 7
23 33 1
23 34 6
23 36 5
23 37 1
23 38 9
23 39 2
24 25 6
24 26 2
24 27 2
24 28 8
24 29 1
24 30 3
24 32 5
24 33 3
24 34 7
24 36 3
24 37 3
24 39 1
25 26 9
25 27 9
25 28 7
25 30 10
25 32 3
25 34 5
25 35 5
25 36 9
25 39 8
26 27 1
26 28 3
26 29 1
26 31 2
26 32 8
26 33 8
26 34 6
26 36 9
26 37 2
26 39 2
27 28 10
27 29 8
27 30 7
27 31 2
27 32 1
27 33 3
27 34 10
27 35 7
27 36 5
27 37 1
27 38 3
27 39 2
28 29 8
28 30 10
28 31 5
28 32 8
28 33 1
28 34 5
28 35 7
28 36 2
28 37 6
28 38 7
28 39 1
29 30 9
29 31 8
29 32 1
29 33 7
29 34 5
29 35 9
29 36 2
29 37 2
29 38 1
29 39 9
30 31 5
30 33 6
30 34 9
30 35 3
30 36 3
30 37 4
31 32 1
31 33 7
31 34 4
31 35 6
31 36 4
31 37 3
31 39 10
32 33 10
32 34 3
32 36 7
32 37 3
32 39 6
33 34 1
33 35 2
33 36 3
33 37 7
33 38 7
33 39 6
34 35 3
34 36 4
34 37 2
34 38 10
34 39 2
35 36 7
35 37 7
35 38 7
35 39 8
36 37 10
36 38 5
37 39 1
38 39 8
0 2 0 2 1 1 0 2 2 1 2 0 2 0 2 1 2 0 2 1 0 1 2 0 2 1 2 1 1 0 1 2 1 1 0 0 0 2 2 2 
2 0 2 2 2 2 1 2 0 2 2 2 1 1 0 1 1 1 0 1 1 0 2 2 2 1 1 1 0 1 2 1 2 0 2 0 1 1 2 2 
0 2 0 0 2 2 2 1 0 2 1 1 2 2 1 0 1 0 1 1 0 2 1 2 2 1 0 2 0 0 2 0 2 0 2 1 0 2 2 0 
2 2 0 0 1 2 0 2 2 2 2 1 2 1 2 1 2 2 1 2 2 1 0 1 2 1 2 0 1 0 1 0 0 1 0 1 0 1 2 0 
1 2 2 1 0 0 0 2 1 2 1 2 0 2 2 1 0 0 0 0 0 1 2 0 1 2 0 2 0 1 2 0 1 2 2 0 1 2 0 0 
1 2 2 2 0 0 1 0 0 1 1 0 1 1 2 1 2 1 1 0 0 2 1 1 2 0 2 1 1 0 2 1 0 0 0 1 1 2 2 2 
0 1 2 0 0 1 0 1 0 2 2 2 2 0 0 0 0 2 1 1 0 0 2 1 1 2 1 0 2 1 2 1 1 1 2 0 0 2 1 2 
2 2 1 2 2 0 1 0 0 1 0 2 0 2 2 1 0 1 1 0 1 2 2 0 1 1 1 0 1 2 2 1 2 1 0 0 0 1 1 1 
